2025-07-07 15:26:17,461 - INFO - Token: <GT, >, Linha 82, Coluna 23>
2025-07-07 15:26:17,462 - INFO - Token: <VAR, b, Linha 82, Coluna 25>
2025-07-07 15:26:17,463 - INFO - Token: <LET, let, Linha 83, Coluna 4>
2025-07-07 15:26:17,463 - INFO - Token: <VAR, menorIgual, Linha 83, Coluna 8>
2025-07-07 15:26:17,463 - INFO - Token: <POINT2, :, Linha 83, Coluna 18>
2025-07-07 15:26:17,464 - INFO - Token: <INT_TYPE, int, Linha 83, Coluna 20>
2025-07-07 15:26:17,465 - INFO - Token: <EQUALS, =, Linha 83, Coluna 24>
2025-07-07 15:26:17,465 - INFO - Token: <VAR, a, Linha 83, Coluna 26>
2025-07-07 15:26:17,465 - INFO - Token: <LTE, <=, Linha 83, Coluna 28>
2025-07-07 15:26:17,466 - INFO - Token: <VAR, b, Linha 83, Coluna 31>
2025-07-07 15:26:17,466 - INFO - Token: <LET, let, Linha 84, Coluna 4>
2025-07-07 15:26:17,466 - INFO - Token: <VAR, maiorIgual, Linha 84, Coluna 8>
2025-07-07 15:26:17,467 - INFO - Token: <POINT2, :, Linha 84, Coluna 18>
2025-07-07 15:26:17,467 - INFO - Token: <INT_TYPE, int, Linha 84, Coluna 20>
2025-07-07 15:26:17,467 - INFO - Token: <EQUALS, =, Linha 84, Coluna 24>
2025-07-07 15:26:17,467 - INFO - Token: <VAR, a, Linha 84, Coluna 26>
2025-07-07 15:26:17,468 - INFO - Token: <GTE, >=, Linha 84, Coluna 28>
2025-07-07 15:26:17,468 - INFO - Token: <VAR, b, Linha 84, Coluna 31>
2025-07-07 15:26:17,468 - INFO - Token: <PRINT, print, Linha 86, Coluna 4>
2025-07-07 15:26:17,469 - INFO - Token: <DUPONT, ::, Linha 86, Coluna 10>
2025-07-07 15:26:17,469 - INFO - Token: <STRING, "=== COMPARAÇÕES ===", Linha 86, Coluna 13>
2025-07-07 15:26:17,470 - INFO - Token: <PRINT, print, Linha 87, Coluna 4>
2025-07-07 15:26:17,470 - INFO - Token: <DUPONT, ::, Linha 87, Coluna 10>
2025-07-07 15:26:17,470 - INFO - Token: <STRING, "10 == 3:", Linha 87, Coluna 13>
2025-07-07 15:26:17,470 - INFO - Token: <VIRG, ,, Linha 87, Coluna 23>
2025-07-07 15:26:17,471 - INFO - Token: <VAR, igual, Linha 87, Coluna 25>
2025-07-07 15:26:17,471 - INFO - Token: <PRINT, print, Linha 88, Coluna 4>
2025-07-07 15:26:17,472 - INFO - Token: <DUPONT, ::, Linha 88, Coluna 10>
2025-07-07 15:26:17,472 - INFO - Token: <STRING, "10 != 3:", Linha 88, Coluna 13>
2025-07-07 15:26:17,472 - INFO - Token: <VIRG, ,, Linha 88, Coluna 23>
2025-07-07 15:26:17,472 - INFO - Token: <VAR, diferente, Linha 88, Coluna 25>
2025-07-07 15:26:17,473 - INFO - Token: <PRINT, print, Linha 89, Coluna 4>
2025-07-07 15:26:17,473 - INFO - Token: <DUPONT, ::, Linha 89, Coluna 10>
2025-07-07 15:26:17,473 - INFO - Token: <STRING, "10 < 3:", Linha 89, Coluna 13>
2025-07-07 15:26:17,473 - INFO - Token: <VIRG, ,, Linha 89, Coluna 22>
2025-07-07 15:26:17,474 - INFO - Token: <VAR, menor, Linha 89, Coluna 24>
2025-07-07 15:26:17,474 - INFO - Token: <PRINT, print, Linha 90, Coluna 4>
2025-07-07 15:26:17,474 - INFO - Token: <DUPONT, ::, Linha 90, Coluna 10>
2025-07-07 15:26:17,475 - INFO - Token: <STRING, "10 > 3:", Linha 90, Coluna 13>
2025-07-07 15:26:17,475 - INFO - Token: <VIRG, ,, Linha 90, Coluna 22>
2025-07-07 15:26:17,475 - INFO - Token: <VAR, maior, Linha 90, Coluna 24>
2025-07-07 15:26:17,476 - INFO - Token: <PRINT, print, Linha 91, Coluna 4>
2025-07-07 15:26:17,476 - INFO - Token: <DUPONT, ::, Linha 91, Coluna 10>
2025-07-07 15:26:17,477 - INFO - Token: <STRING, "10 <= 3:", Linha 91, Coluna 13>
2025-07-07 15:26:17,477 - INFO - Token: <VIRG, ,, Linha 91, Coluna 23>
2025-07-07 15:26:17,477 - INFO - Token: <VAR, menorIgual, Linha 91, Coluna 25>
2025-07-07 15:26:17,477 - INFO - Token: <PRINT, print, Linha 92, Coluna 4>
2025-07-07 15:26:17,478 - INFO - Token: <DUPONT, ::, Linha 92, Coluna 10>
2025-07-07 15:26:17,478 - INFO - Token: <STRING, "10 >= 3:", Linha 92, Coluna 13>
2025-07-07 15:26:17,479 - INFO - Token: <VIRG, ,, Linha 92, Coluna 23>
2025-07-07 15:26:17,479 - INFO - Token: <VAR, maiorIgual, Linha 92, Coluna 25>
2025-07-07 15:26:17,479 - INFO - Token: <LET, let, Linha 98, Coluna 4>
2025-07-07 15:26:17,480 - INFO - Token: <VAR, condicao1, Linha 98, Coluna 8>
2025-07-07 15:26:17,480 - INFO - Token: <POINT2, :, Linha 98, Coluna 17>
2025-07-07 15:26:17,480 - INFO - Token: <INT_TYPE, int, Linha 98, Coluna 19>
2025-07-07 15:26:17,481 - INFO - Token: <EQUALS, =, Linha 98, Coluna 23>
2025-07-07 15:26:17,481 - INFO - Token: <INT, 1, Linha 98, Coluna 25>
